date,total_value
2024-04-04,13083.467285644987
2024-04-05,13228.914067765265
2024-04-06,13228.914067765265
2024-04-07,13228.914067765265
2024-04-08,13184.886997996246
2024-04-09,13100.123402231555
2024-04-10,13050.555158571426
2024-04-11,13030.918817184389
2024-04-12,12868.696982375997
2024-04-13,12868.696982375997
2024-04-14,12868.696982375997
2024-04-15,12793.848034235327
2024-04-16,12738.122417397472
2024-04-17,12697.935665985753
2024-04-18,12694.113818392705
2024-04-19,12726.496134242077
2024-04-20,12726.496134242077
2024-04-21,12726.496134242077
2024-04-22,12849.990972158632
2024-04-23,12976.118438287405
2024-04-24,12937.489297987097
2024-04-25,12922.063646369781
2024-04-26,12910.097183687249
2024-04-27,12910.097183687249
2024-04-28,12910.097183687249
2024-04-29,12987.63966934471
2024-04-30,12895.224176191467
2024-05-01,12816.293050554392
2024-05-02,12821.69179315395
2024-05-03,12865.783472180407
2024-05-04,12865.783472180407
2024-05-05,12865.783472180407
2024-05-06,13032.363976130653
2024-05-07,13063.29208880153
2024-05-08,13078.028987804648
2024-05-09,13173.637907831224
2024-05-10,13184.25965336873
2024-05-11,13184.25965336873
2024-05-12,13184.25965336873
2024-05-13,13148.395134596716
2024-05-14,13192.09529464779
2024-05-15,13347.699729779892
2024-05-16,13318.858305460406
2024-05-17,13381.701208839755
2024-05-18,13381.701208839755
2024-05-19,13381.701208839755
2024-05-20,13367.649143654644
2024-05-21,13416.007837208082
2024-05-22,13356.529588251862
2024-05-23,13323.855216283177
2024-05-24,13404.235958630517
2024-05-25,13404.235958630517
2024-05-26,13404.235958630517
2024-05-27,13404.235958630517
2024-05-28,13401.40603126636
2024-05-29,13312.034233968245
2024-05-30,13334.8933828083
2024-05-31,13486.411555530713
2024-06-01,13486.411555530713
2024-06-02,13486.411555530713
2024-06-03,13427.826698705969
2024-06-04,13402.220214437335
2024-06-05,13493.006329199061
2024-06-06,13495.917281887423
2024-06-07,13506.498741655332
2024-06-08,13506.498741655332
2024-06-09,13506.498741655332
2024-06-10,13594.763859137753
2024-06-11,13509.234243067514
2024-06-12,13504.080371361286
2024-06-13,13545.696635511611
2024-06-14,13512.635062516512
2024-06-15,13512.635062516512
2024-06-16,13512.635062516512
2024-06-17,13584.544942531089
2024-06-18,13699.41949260869
2024-06-19,13699.41949260869
2024-06-20,13745.919011032925
2024-06-21,13678.401767646525
2024-06-22,13678.401767646525
2024-06-23,13678.401767646525
2024-06-24,13770.241935712953
2024-06-25,13799.737914257426
2024-06-26,13730.911315184701
2024-06-27,13722.045785811737
2024-06-28,13692.126543854456
2024-06-29,13692.126543854456
2024-06-30,13692.126543854456
2024-07-01,13738.383368251669
2024-07-02,13726.546456993812
2024-07-03,13738.800896177978
2024-07-04,13738.800896177978
2024-07-05,13695.136957571958
2024-07-06,13695.136957571958
2024-07-07,13695.136957571958
2024-07-08,13736.63696724573
2024-07-09,13803.29855879813
2024-07-10,13933.497993061508
2024-07-11,13938.069152416805
2024-07-12,14010.045281610272
2024-07-13,14010.045281610272
2024-07-14,14010.045281610272
2024-07-15,14072.960623332025
2024-07-16,14153.449875089314
2024-07-17,14077.820665946216
2024-07-18,13952.805249340146
2024-07-19,13849.733538017543
2024-07-20,13849.733538017543
2024-07-21,13849.733538017543
2024-07-22,13913.468481251708
2024-07-23,13897.167571128406
2024-07-24,13783.511841620655
2024-07-25,13753.968502592586
2024-07-26,13841.710591740222
2024-07-27,13841.710591740222
2024-07-28,13841.710591740222
2024-07-29,13786.129444581476
2024-07-30,13739.989969592665
2024-07-31,13874.277234036685
2024-08-01,13749.110713337337
2024-08-02,13461.855515366473
2024-08-03,13461.855515366473
2024-08-04,13461.855515366473
2024-08-05,13107.770379557858
2024-08-06,13229.886142624544
2024-08-07,13136.20407326441
2024-08-08,13510.064204081158
2024-08-09,13637.675660168468
2024-08-10,13637.675660168468
2024-08-11,13637.675660168468
2024-08-12,13640.246715817113
2024-08-13,13797.443886917023
2024-08-14,13941.07561787606
2024-08-15,14097.753721439409
2024-08-16,14124.58151309725
2024-08-17,14124.58151309725
2024-08-18,14124.58151309725
2024-08-19,14236.667503478295
2024-08-20,14184.931349970091
2024-08-21,14223.264807354732
2024-08-22,14213.784511768768
2024-08-23,14382.398583492159
2024-08-24,14382.398583492159
2024-08-25,14382.398583492159
2024-08-26,14392.482861838722
2024-08-27,14390.104547139603
2024-08-28,14383.63142978974
2024-08-29,14394.309119711448
2024-08-30,14534.493856643652
2024-08-31,14534.493856643652
2024-09-01,14534.493856643652
2024-09-02,14534.493856643652
2024-09-03,14301.61691757029
2024-09-04,14235.400230106781
2024-09-05,14067.51163322677
2024-09-06,13867.006807254033
2024-09-07,13867.006807254033
2024-09-08,13867.006807254033
2024-09-09,14037.945129498707
2024-09-10,13993.031791744123
2024-09-11,14071.999818243903
2024-09-12,14196.1437716188
2024-09-13,14286.382758264886
2024-09-14,14286.382758264886
2024-09-15,14286.382758264886
2024-09-16,14389.761164156274
2024-09-17,14376.625366587532
2024-09-18,14360.93426594254
2024-09-19,14517.668783673507
2024-09-20,14561.245334328307
2024-09-21,14561.245334328307
2024-09-22,14561.245334328307
2024-09-23,14604.90744827795
2024-09-24,14603.079948195762
2024-09-25,14531.433017571997
2024-09-26,14497.199971036202
2024-09-27,14495.462763712701
2024-09-28,14495.462763712701
2024-09-29,14495.462763712701
2024-09-30,14573.865631578448
2024-10-01,14590.960274451056
2024-10-02,14619.781561060607
2024-10-03,14652.123975636901
2024-10-04,14804.164966110906
2024-10-05,14804.164966110906
2024-10-06,14804.164966110906
2024-10-07,14735.377804733887
2024-10-08,14758.862592091431
2024-10-09,14856.993417801279
2024-10-10,14847.06944324762
2024-10-11,15012.466995455216
2024-10-12,15012.466995455216
2024-10-13,15012.466995455216
2024-10-14,15070.349819415305
2024-10-15,14910.807390575885
2024-10-16,15036.935111474933
2024-10-17,15070.217893174593
2024-10-18,15035.449680754504
2024-10-19,15035.449680754504
2024-10-20,15035.449680754504
2024-10-21,14951.981094812787
2024-10-22,14932.512662020874
2024-10-23,14861.864749178336
2024-10-24,14821.01383946059
2024-10-25,14737.31514108244
2024-10-26,14737.31514108244
2024-10-27,14737.31514108244
2024-10-28,14790.344653361575
2024-10-29,14725.112061887345
2024-10-30,14651.504450636654
2024-10-31,14562.251961459764
2024-11-01,14542.38863875667
2024-11-02,14542.38863875667
2024-11-03,14542.38863875667
2024-11-04,14510.61417563222
2024-11-05,14687.862533093776
2024-11-06,15034.198149998347
2024-11-07,15142.201137553846
2024-11-08,15309.130783242132
2024-11-09,15309.130783242132
2024-11-10,15309.130783242132
2024-11-11,15304.325988722758
2024-11-12,15184.42183313436
2024-11-13,15172.28425291362
2024-11-14,15052.49843585293
2024-11-15,14870.103863141932
2024-11-16,14870.103863141932
2024-11-17,14870.103863141932
2024-11-18,14896.768519384039
2024-11-19,14931.975665094988
2024-11-20,15039.477458339026
2024-11-21,15209.9024275294
2024-11-22,15279.760770505436
2024-11-23,15279.760770505436
2024-11-24,15279.760770505436
2024-11-25,15235.900012569553
2024-11-26,15370.47508863214
2024-11-27,15309.776270978504
2024-11-28,15309.776270978504
2024-11-29,15382.104968933067
2024-11-30,15382.104968933067
2024-12-01,15382.104968933067
2024-12-02,15320.206109794424
2024-12-03,15360.725421170373
2024-12-04,15354.141333930113
2024-12-05,15372.133943163517
2024-12-06,15336.121123664494
2024-12-07,15336.121123664494
2024-12-08,15336.121123664494
2024-12-09,15092.475760970123
2024-12-10,14954.272369441976
2024-12-11,14963.95988000861
2024-12-12,14868.251360494989
2024-12-13,14885.672293510972
2024-12-14,14885.672293510972
2024-12-15,14885.672293510972
2024-12-16,14801.599327612934
2024-12-17,14708.606660453213
2024-12-18,14327.577158621152
2024-12-19,14273.668742185871
2024-12-20,14467.218670031605
2024-12-21,14467.218670031605
2024-12-22,14467.218670031605
2024-12-23,14594.479671121486
2024-12-24,14686.980043975082
2024-12-25,14686.980043975082
2024-12-26,14707.623831421968
2024-12-27,14587.511495279174
2024-12-28,14587.511495279174
2024-12-29,14587.511495279174
2024-12-30,14455.54646198554
2024-12-31,14474.584520708264
2025-01-01,14474.584520708264
2025-01-02,14568.881112010873
2025-01-03,14739.137982602882
2025-01-04,14739.137982602882
2025-01-05,14739.137982602882
2025-01-06,14743.467900557802
2025-01-07,14701.910820936366
2025-01-08,14714.761818576753
2025-01-09,14714.761818576753
2025-01-10,14608.755868143726
2025-01-11,14608.755868143726
2025-01-12,14608.755868143726
2025-01-13,14669.122785408306
2025-01-14,14670.4941761408
